Timestamp,Frame_number,Total_Blinks,Avg_blink_duration
0.0,0,0,0.0
0.001,1,0,0.0
0.002,2,0,0.0
0.003,3,0,0.0
0.004,4,0,0.0
0.005,5,0,0.0
0.006,6,0,0.0
0.007,7,0,0.0
0.008,8,0,0.0
0.009,9,0,0.0
0.01,10,0,0.0
0.011,11,0,0.0
0.012,12,0,0.0
0.013,13,0,0.0
0.014,14,0,0.0
0.015,15,0,0.0
0.016,16,0,0.0
0.017,17,0,0.0
0.018,18,0,0.0
0.019,19,0,0.0
0.02,20,0,0.0
0.021,21,0,0.0
0.022,22,0,0.0
0.023,23,0,0.0
0.024,24,0,0.0
0.025,25,0,0.0
0.026,26,0,0.0
0.027,27,0,0.0
0.028,28,0,0.0
0.029,29,0,0.0
0.03,30,0,0.0
0.031,31,0,0.0
0.032,32,0,0.0
0.033,33,0,0.0
0.034,34,0,0.0
0.035,35,0,0.0
0.036,36,0,0.0
0.037,37,0,0.0
0.038,38,0,0.0
0.039,39,0,0.0
0.04,40,0,0.0
0.041,41,0,0.0
0.042,42,0,0.0
0.043,43,0,0.0
0.044,44,0,0.0
0.045,45,0,0.0
0.046,46,0,0.0
0.047,47,0,0.0
0.048,48,0,0.0
0.049,49,0,0.0
0.05,50,0,0.0
0.051,51,0,0.0
0.052,52,0,0.0
0.053,53,0,0.0
0.054,54,0,0.0
0.055,55,0,0.0
0.056,56,0,0.0
0.057,57,0,0.0
0.058,58,0,0.0
0.059,59,0,0.0
0.06,60,0,0.0
0.061,61,0,0.0
0.062,62,0,0.0
0.063,63,0,0.0
0.064,64,0,0.0
0.065,65,0,0.0
0.066,66,0,0.0
0.067,67,0,0.0
0.068,68,0,0.0
0.069,69,0,0.0
0.07,70,0,0.0
0.071,71,0,0.0
0.072,72,0,0.0
0.073,73,0,0.0
0.074,74,0,0.0
0.075,75,0,0.0
0.076,76,0,0.0
0.077,77,0,0.0
0.078,78,0,0.0
0.079,79,0,0.0
0.08,80,0,0.0
0.081,81,0,0.0
0.082,82,0,0.0
0.083,83,0,0.0
0.084,84,0,0.0
0.085,85,0,0.0
0.086,86,0,0.0
0.087,87,0,0.0
0.088,88,0,0.0
0.089,89,0,0.0
0.09,90,0,0.0
0.091,91,0,0.0
0.092,92,0,0.0
0.093,93,0,0.0
0.094,94,0,0.0
0.095,95,0,0.0
0.096,96,0,0.0
0.097,97,0,0.0
0.098,98,0,0.0
0.099,99,0,0.0
0.1,100,0,0.0
0.101,101,0,0.0
0.102,102,0,0.0
0.103,103,0,0.0
0.104,104,0,0.0
0.105,105,0,0.0
0.106,106,0,0.0
0.107,107,0,0.0
0.108,108,0,0.0
0.109,109,0,0.0
0.11,110,0,0.0
0.111,111,0,0.0
0.112,112,0,0.0
0.113,113,0,0.0
0.114,114,0,0.0
0.115,115,0,0.0
0.116,116,0,0.0
0.117,117,0,0.0
0.118,118,0,0.0
0.119,119,0,0.0
0.12,120,0,0.0
0.121,121,0,0.0
0.122,122,0,0.0
0.123,123,0,0.0
0.124,124,0,0.0
0.125,125,0,0.0
0.126,126,0,0.0
0.127,127,0,0.0
0.128,128,0,0.0
0.129,129,0,0.0
0.13,130,0,0.0
0.131,131,0,0.0
0.132,132,0,0.0
0.133,133,0,0.0
0.134,134,0,0.0
0.135,135,0,0.0
0.136,136,0,0.0
0.137,137,0,0.0
0.138,138,0,0.0
0.139,139,0,0.0
0.14,140,0,0.0
0.141,141,0,0.0
0.142,142,0,0.0
0.143,143,0,0.0
0.144,144,0,0.0
0.145,145,0,0.0
0.146,146,0,0.0
0.147,147,0,0.0
0.148,148,0,0.0
0.149,149,0,0.0
0.15,150,0,0.0
0.151,151,0,0.0
0.152,152,0,0.0
0.153,153,0,0.0
0.154,154,0,0.0
0.155,155,0,0.0
0.156,156,0,0.0
0.157,157,0,0.0
0.158,158,0,0.0
0.159,159,0,0.0
0.16,160,0,0.0
0.161,161,0,0.0
0.162,162,0,0.0
0.163,163,0,0.0
0.164,164,0,0.0
0.165,165,0,0.0
0.166,166,0,0.0
0.167,167,0,0.0
0.168,168,0,0.0
0.169,169,0,0.0
0.17,170,0,0.0
0.171,171,0,0.0
0.172,172,0,0.0
0.173,173,0,0.0
0.174,174,0,0.0
0.175,175,0,0.0
0.176,176,0,0.0
0.177,177,0,0.0
0.178,178,0,0.0
0.179,179,0,0.0
0.18,180,0,0.0
0.181,181,0,0.0
0.182,182,0,0.0
0.183,183,0,0.0
0.184,184,0,0.0
0.185,185,0,0.0
0.186,186,0,0.0
0.187,187,0,0.0
0.188,188,0,0.0
0.189,189,0,0.0
0.19,190,0,0.0
0.191,191,0,0.0
0.192,192,0,0.0
0.193,193,0,0.0
0.194,194,0,0.0
0.195,195,0,0.0
0.196,196,0,0.0
0.197,197,0,0.0
0.198,198,0,0.0
0.199,199,0,0.0
0.2,200,0,0.0
0.201,201,0,0.0
0.202,202,0,0.0
0.203,203,0,0.0
0.204,204,0,0.0
0.205,205,0,0.0
0.206,206,0,0.0
0.207,207,0,0.0
0.208,208,0,0.0
0.209,209,0,0.0
0.21,210,0,0.0
0.211,211,0,0.0
0.212,212,0,0.0
0.213,213,0,0.0
0.214,214,0,0.0
0.215,215,0,0.0
0.216,216,0,0.0
0.217,217,0,0.0
0.218,218,0,0.0
0.219,219,0,0.0
0.22,220,0,0.0
0.221,221,0,0.0
0.222,222,0,0.0
0.223,223,0,0.0
0.224,224,0,0.0
0.225,225,0,0.0
0.226,226,0,0.0
0.227,227,0,0.0
0.228,228,0,0.0
0.229,229,0,0.0
0.23,230,0,0.0
0.231,231,0,0.0
0.232,232,0,0.0
0.233,233,0,0.0
0.234,234,0,0.0
0.235,235,0,0.0
0.236,236,0,0.0
0.237,237,0,0.0
0.238,238,0,0.0
0.239,239,0,0.0
0.24,240,0,0.0
0.241,241,0,0.0
0.242,242,0,0.0
0.243,243,0,0.0
0.244,244,0,0.0
0.245,245,0,0.0
0.246,246,0,0.0
0.247,247,0,0.0
0.248,248,0,0.0
0.249,249,0,0.0
0.25,250,0,0.0
0.251,251,0,0.0
0.252,252,0,0.0
0.253,253,0,0.0
0.254,254,0,0.0
0.255,255,0,0.0
0.256,256,0,0.0
0.257,257,0,0.0
0.258,258,0,0.0
0.259,259,0,0.0
0.26,260,0,0.0
0.261,261,0,0.0
0.262,262,0,0.0
0.263,263,0,0.0
0.264,264,0,0.0
0.265,265,0,0.0
0.266,266,0,0.0
0.267,267,0,0.0
0.268,268,0,0.0
0.269,269,0,0.0
0.27,270,0,0.0
0.271,271,0,0.0
0.272,272,0,0.0
0.273,273,0,0.0
0.274,274,0,0.0
0.275,275,0,0.0
0.276,276,0,0.0
0.277,277,0,0.0
0.278,278,0,0.0
0.279,279,0,0.0
0.28,280,0,0.0
0.281,281,0,0.0
0.282,282,0,0.0
0.283,283,0,0.0
0.284,284,0,0.0
0.285,285,0,0.0
0.286,286,0,0.0
0.287,287,0,0.0
0.288,288,0,0.0
0.289,289,0,0.0
0.29,290,0,0.0
0.291,291,0,0.0
0.292,292,0,0.0
0.293,293,0,0.0
0.294,294,0,0.0
0.295,295,0,0.0
0.296,296,0,0.0
0.297,297,0,0.0
0.298,298,0,0.0
0.299,299,0,0.0
0.3,300,0,0.0
0.301,301,0,0.0
0.302,302,0,0.0
0.303,303,0,0.0
0.304,304,0,0.0
0.305,305,0,0.0
0.306,306,0,0.0
0.307,307,0,0.0
0.308,308,0,0.0
0.309,309,0,0.0
0.31,310,0,0.0
0.311,311,0,0.0
0.312,312,0,0.0
0.313,313,0,0.0
0.314,314,0,0.0
0.315,315,0,0.0
0.316,316,0,0.0
0.317,317,0,0.0
0.318,318,0,0.0
0.319,319,0,0.0
0.32,320,0,0.0
0.321,321,0,0.0
0.322,322,0,0.0
0.323,323,0,0.0
0.324,324,0,0.0
0.325,325,0,0.0
0.326,326,0,0.0
0.327,327,0,0.0
0.328,328,0,0.0
0.329,329,0,0.0
0.33,330,0,0.0
0.331,331,0,0.0
0.332,332,0,0.0
0.333,333,0,0.0
0.334,334,0,0.0
0.335,335,0,0.0
0.336,336,0,0.0
0.337,337,0,0.0
0.338,338,0,0.0
0.339,339,0,0.0
0.34,340,0,0.0
0.341,341,0,0.0
0.342,342,0,0.0
0.343,343,0,0.0
0.344,344,0,0.0
0.345,345,0,0.0
0.346,346,0,0.0
0.347,347,0,0.0
0.348,348,0,0.0
0.349,349,0,0.0
0.35,350,0,0.0
0.351,351,0,0.0
0.352,352,0,0.0
0.353,353,0,0.0
0.354,354,0,0.0
0.355,355,0,0.0
0.356,356,0,0.0
0.357,357,0,0.0
0.358,358,0,0.0
0.359,359,0,0.0
0.36,360,0,0.0
0.361,361,0,0.0
0.362,362,0,0.0
0.363,363,0,0.0
0.364,364,0,0.0
0.365,365,0,0.0
0.366,366,0,0.0
0.367,367,0,0.0
0.368,368,0,0.0
0.369,369,0,0.0
0.37,370,0,0.0
0.371,371,0,0.0
0.372,372,0,0.0
0.373,373,0,0.0
0.374,374,0,0.0
0.375,375,0,0.0
0.376,376,0,0.0
0.377,377,0,0.0
0.378,378,0,0.0
0.379,379,0,0.0
0.38,380,0,0.0
0.381,381,0,0.0
0.382,382,0,0.0
0.383,383,0,0.0
0.384,384,0,0.0
0.385,385,0,0.0
0.386,386,0,0.0
0.387,387,0,0.0
0.388,388,0,0.0
0.389,389,0,0.0
0.39,390,0,0.0
0.391,391,0,0.0
0.392,392,0,0.0
0.393,393,0,0.0
0.394,394,0,0.0
0.395,395,0,0.0
0.396,396,0,0.0
0.397,397,0,0.0
0.398,398,0,0.0
0.399,399,0,0.0
0.4,400,0,0.0
0.401,401,0,0.0
0.402,402,0,0.0
0.403,403,0,0.0
0.404,404,0,0.0
0.405,405,0,0.0
0.406,406,0,0.0
0.407,407,0,0.0
0.408,408,0,0.0
0.409,409,0,0.0
0.41,410,0,0.0
0.411,411,0,0.0
0.412,412,0,0.0
0.413,413,0,0.0
0.414,414,0,0.0
0.415,415,0,0.0
0.416,416,0,0.0
0.417,417,0,0.0
0.418,418,0,0.0
0.419,419,0,0.0
0.42,420,0,0.0
0.421,421,0,0.0
0.422,422,0,0.0
0.423,423,0,0.0
0.424,424,0,0.0
0.425,425,0,0.0
0.426,426,0,0.0
0.427,427,0,0.0
0.428,428,0,0.0
0.429,429,0,0.0
0.43,430,0,0.0
0.431,431,0,0.0
0.432,432,0,0.0
0.433,433,0,0.0
0.434,434,0,0.0
0.435,435,0,0.0
0.436,436,0,0.0
0.437,437,0,0.0
0.438,438,0,0.0
0.439,439,0,0.0
0.44,440,0,0.0
0.441,441,0,0.0
0.442,442,0,0.0
0.443,443,0,0.0
0.444,444,0,0.0
0.445,445,0,0.0
0.446,446,0,0.0
0.447,447,0,0.0
0.448,448,0,0.0
0.449,449,0,0.0
0.45,450,0,0.0
0.451,451,0,0.0
0.452,452,0,0.0
0.453,453,0,0.0
0.454,454,0,0.0
0.455,455,0,0.0
0.456,456,0,0.0
0.457,457,0,0.0
0.458,458,0,0.0
0.459,459,0,0.0
0.46,460,0,0.0
0.461,461,0,0.0
0.462,462,0,0.0
0.463,463,0,0.0
0.464,464,0,0.0
0.465,465,0,0.0
0.466,466,0,0.0
0.467,467,0,0.0
0.468,468,0,0.0
0.469,469,0,0.0
0.47,470,0,0.0
0.471,471,0,0.0
0.472,472,0,0.0
0.473,473,0,0.0
0.474,474,0,0.0
0.475,475,0,0.0
0.476,476,0,0.0
0.477,477,0,0.0
0.478,478,0,0.0
0.479,479,0,0.0
0.48,480,0,0.0
0.481,481,0,0.0
0.482,482,0,0.0
0.483,483,0,0.0
0.484,484,0,0.0
0.485,485,0,0.0
0.486,486,0,0.0
0.487,487,0,0.0
0.488,488,0,0.0
0.489,489,0,0.0
0.49,490,0,0.0
0.491,491,0,0.0
0.492,492,0,0.0
0.493,493,0,0.0
0.494,494,0,0.0
0.495,495,0,0.0
0.496,496,0,0.0
0.497,497,0,0.0
0.498,498,0,0.0
0.499,499,0,0.0
0.5,500,0,0.0
0.501,501,0,0.0
0.502,502,0,0.0
0.503,503,0,0.0
0.504,504,0,0.0
0.505,505,0,0.0
0.506,506,0,0.0
0.507,507,0,0.0
0.508,508,0,0.0
0.509,509,0,0.0
0.51,510,0,0.0
0.511,511,0,0.0
0.512,512,0,0.0
0.513,513,0,0.0
0.514,514,0,0.0
0.515,515,0,0.0
0.516,516,0,0.0
0.517,517,0,0.0
0.518,518,0,0.0
0.519,519,0,0.0
0.52,520,0,0.0
0.521,521,0,0.0
0.522,522,0,0.0
0.523,523,0,0.0
0.524,524,0,0.0
0.525,525,0,0.0
0.526,526,0,0.0
0.527,527,0,0.0
0.528,528,0,0.0
0.529,529,0,0.0
0.53,530,0,0.0
0.531,531,0,0.0
0.532,532,0,0.0
0.533,533,0,0.0
0.534,534,0,0.0
0.535,535,0,0.0
0.536,536,0,0.0
0.537,537,0,0.0
0.538,538,0,0.0
0.539,539,0,0.0
0.54,540,0,0.0
0.541,541,0,0.0
0.542,542,0,0.0
0.543,543,0,0.0
0.544,544,0,0.0
0.545,545,0,0.0
0.546,546,0,0.0
0.547,547,0,0.0
0.548,548,0,0.0
0.549,549,0,0.0
0.55,550,0,0.0
0.551,551,0,0.0
0.552,552,0,0.0
0.553,553,0,0.0
0.554,554,0,0.0
0.555,555,0,0.0
0.556,556,0,0.0
0.557,557,0,0.0
0.558,558,0,0.0
0.559,559,0,0.0
0.56,560,0,0.0
0.561,561,0,0.0
0.562,562,0,0.0
0.563,563,0,0.0
0.564,564,0,0.0
0.565,565,0,0.0
0.566,566,0,0.0
0.567,567,0,0.0
0.568,568,0,0.0
0.569,569,0,0.0
0.57,570,0,0.0
0.571,571,0,0.0
0.572,572,0,0.0
0.573,573,0,0.0
0.574,574,0,0.0
0.575,575,0,0.0
0.576,576,0,0.0
